Date,TICKER,Close_Price_Raw,Volume_Raw,PERMNO,SIC_Code
2017-06-20,NVDA,3.877628088,1095444000,86580,3674
2017-06-20,WELL,56.63201523,2215100,61293,6798
2017-06-20,AMZN,49.62950134,81536000,84788,5961
2017-06-21,QCOM,44.86843491,8324900,77178,3674
2017-06-21,WELL,56.80135727,1762900,61293,6798
2017-06-21,AMT,106.3796768,1641900,82332,6798
2017-06-21,NVDA,3.936376333,682652000,86580,3674
2017-06-21,AMZN,50.11149979,58450000,84788,5961
2017-06-21,IBM,101.5927277,4141846,12490,7373
2017-06-21,AIV,2.597293854,7753851,78442,6798
2017-06-22,AMZN,50.06499863,45068000,84788,5961
2017-06-22,WELL,57.05166626,1638800,61293,6798
2017-06-22,IBM,101.9956512,2485819,12490,7373
2017-06-22,AMT,106.5914459,1272900,82332,6798
2017-06-22,AIV,2.587846756,11210342,78442,6798
2017-06-22,NVDA,3.909224033,469132000,86580,3674
2017-06-22,QCOM,44.97994614,5560100,77178,3674
2017-06-23,IBM,101.8041153,3433181,12490,7373
2017-06-23,AIV,2.584894896,12915334,78442,6798
2017-06-23,NVDA,3.797158003,1088588000,86580,3674
2017-06-23,QCOM,45.33042908,11847900,77178,3674
2017-06-23,WELL,57.00750732,2210200,61293,6798
2017-06-23,AMZN,50.18700027,57582000,84788,5961
2017-06-23,AMT,107.4140778,1694000,82332,6798
2017-06-26,IBM,102.5439529,2252561,12490,7373
2017-06-26,AIV,2.583714008,6551430,78442,6798
2017-06-26,WELL,57.17684174,1107700,61293,6798
2017-06-26,AMT,107.8864594,1286100,82332,6798
2017-06-26,AMZN,49.69900131,67724000,84788,5961
2017-06-26,QCOM,45.05162811,7339100,77178,3674
2017-06-26,NVDA,3.75568819,1063960000,86580,3674
2017-06-27,WELL,56.32276154,1476600,61293,6798
2017-06-27,AMT,110.5661316,4168800,82332,6798
2017-06-27,IBM,102.22686,2496279,12490,7373
2017-06-27,NVDA,3.618198156,999492000,86580,3674
2017-06-27,QCOM,44.15155792,6814400,77178,3674
2017-06-27,AIV,2.539431095,13443409,78442,6798
